time_s,ax,ay,az,pitch,roll,yaw
5.0752,-960,-17200,4392,3.10,-75.68,29.24
5.0873,-116,-17056,3612,0.38,-78.04,29.05
5.0997,-644,-16828,2268,2.17,-82.32,28.86
5.1118,-104,-16836,1520,0.35,-84.84,28.63
5.1242,452,-16896,728,-1.53,-87.53,28.42
5.1364,-180,-16932,1488,0.61,-84.98,28.25
5.1489,936,-17128,3604,-3.06,-78.12,28.17
5.1609,-360,-17684,3672,1.14,-78.27,28.11
5.1733,-812,-17572,776,2.64,-87.47,27.90
5.1869,584,-16492,-1420,-2.02,-94.92,27.68
5.1991,-520,-15888,-2456,1.85,-98.79,27.56
5.2113,-984,-15500,-1676,3.61,-96.17,27.53
5.2235,-1540,-15780,116,5.57,-89.58,27.61
5.2359,-3844,-17396,5224,11.95,-73.29,28.04
5.2507,-2688,-16948,3872,8.79,-77.13,28.77
5.2633,-2260,-16372,2720,7.75,-80.57,29.31
5.2759,-1708,-16172,492,6.03,-88.26,29.66
5.2883,-1368,-15800,-4228,4.78,-104.98,29.90
5.3005,644,-14248,-3388,-2.52,-103.38,30.28
5.3142,-1216,-15328,3644,4.41,-76.63,30.81
5.3265,-2928,-16460,14304,7.65,-49.01,31.65
5.3391,-7720,-18024,16432,17.56,-47.65,33.06
5.3517,-3508,-18336,4888,10.47,-75.07,34.12
5.3643,3856,-15776,-9952,-11.68,-122.25,34.75
5.3772,5888,-14260,-4200,-21.61,-106.41,34.89
5.3902,2072,-15616,10764,-6.23,-55.42,34.70
5.4023,-2724,-16636,18980,6.16,-41.23,34.51
5.4148,-5504,-16500,18484,12.52,-41.75,34.64
5.4277,-3204,-18892,14128,7.73,-53.21,35.28
5.4398,-3180,-17236,2544,10.34,-81.60,35.48
5.4563,-532,-13172,-6016,2.10,-114.55,34.88
5.4683,-208,-12880,5336,0.85,-67.50,34.04
5.4808,-1680,-14432,22104,3.64,-33.14,33.21
5.4934,-812,-14936,26996,1.51,-28.95,32.80
5.5055,5616,-15524,12880,-15.56,-50.32,32.82
5.5184,924,-14648,19512,-2.17,-36.90,32.75
5.5306,-7680,-15136,16056,19.19,-43.31,32.55
5.5436,-4908,-13336,7772,17.64,-59.77,31.10
5.5563,5484,-7864,-3256,-32.79,-112.49,28.92
5.5692,6292,-6968,14820,-21.02,-25.18,26.69
5.5833,1480,-6964,24572,-3.32,-15.82,24.81
5.5956,116,-6192,16712,-0.37,-20.33,23.82
5.6080,4360,-4924,20804,-11.53,-13.32,23.35
5.6224,3168,-4964,18616,-9.34,-14.93,23.23
5.6350,476,-1556,7812,-3.42,-11.26,22.45
5.6472,76,2172,9172,-0.46,13.32,21.51
5.6597,-8092,2772,16744,25.49,9.40,20.61
5.6721,-952,2144,17732,3.05,6.89,20.11
5.6857,-32,2784,10436,0.17,14.94,19.56
5.6980,848,3824,18264,-2.60,11.83,19.36
5.7118,916,5504,12740,-3.78,23.37,19.57
5.7242,-888,6476,15640,3.00,22.49,19.83
5.7366,-3456,7980,11388,13.96,35.02,20.16
5.7494,416,7928,14380,-1.45,28.87,20.29
5.7618,2044,7116,13548,-7.61,27.71,20.30
5.7741,3404,7412,13192,-12.68,29.33,20.27
5.7869,2588,7960,14868,-8.72,28.16,20.32
5.7995,3360,8224,13696,-11.88,30.98,20.35
5.8121,1264,8828,9960,-5.43,41.55,20.28
5.8269,160,9104,12164,-0.60,36.81,20.25
5.8405,1380,8032,12924,-5.18,31.86,20.18
5.8530,2900,7620,15352,-9.60,26.40,20.11
5.8653,2220,7584,13624,-8.10,29.10,20.15
5.8779,2972,7920,15512,-9.68,27.05,20.32
5.8904,-316,9416,11148,1.24,40.19,20.54
5.9029,632,9784,8104,-2.85,50.37,20.61
5.9149,1516,9968,13104,-5.26,37.26,20.65
5.9275,1316,9884,15092,-4.17,33.22,20.67
5.9399,2472,9396,14584,-8.11,32.79,20.74
5.9526,1652,10228,12048,-5.97,40.33,20.92
5.9649,760,11008,11604,-2.72,43.49,21.13
5.9772,220,10916,12684,-0.75,40.72,21.35
5.9908,1092,11184,12424,-3.74,41.99,21.49
6.0033,2624,10316,15668,-7.96,33.36,21.60
6.0196,2496,10248,13540,-8.36,37.12,21.63
6.0323,1140,10240,15308,-3.54,33.78,21.69
6.0469,-1968,11092,15096,6.00,36.31,21.81
6.0612,-1356,11000,13648,4.42,38.87,22.00
6.0753,748,10208,13292,-2.56,37.52,22.25
6.0915,3064,9544,13076,-10.72,36.13,22.47
6.1042,2276,10252,11332,-8.47,42.14,22.56
6.1169,1884,10172,11584,-6.97,41.29,22.67
6.1306,1076,9896,12228,-3.91,38.98,22.78
6.1432,2204,9812,10352,-8.78,43.47,22.89
6.1558,2076,9640,10224,-8.40,43.32,22.95
6.1685,2376,9908,9704,-9.72,45.60,23.10
6.1808,2660,9648,7156,-12.49,53.44,23.12
6.1937,636,10456,7996,-2.77,52.59,23.17
6.2057,1916,9164,12628,-7.00,35.97,23.33
6.2183,2660,7036,14028,-9.62,26.64,23.35
6.2354,4320,6496,12348,-17.20,27.75,23.06
6.2483,2804,7152,10196,-12.69,35.05,22.65
6.2611,1836,7176,9888,-8.55,35.97,22.37
6.2751,-520,4848,13520,2.07,19.73,22.21
6.2874,6676,-408,22508,-16.52,-1.04,22.02
6.2998,9156,-1564,26964,-18.73,-3.32,21.50
6.3120,5696,1608,21492,-14.80,4.28,20.50
6.3246,-28,4904,15272,0.10,17.80,19.63
6.3368,-1944,6644,6392,11.91,46.11,19.24
6.3497,-1944,5632,2792,17.18,63.63,19.36
6.3625,-4708,-188,26228,10.18,-0.41,20.14
6.3747,7816,-7156,32767,-13.12,-12.32,20.62
6.3876,10820,-5808,23380,-24.19,-13.95,20.23
6.4023,2308,212,16592,-7.92,0.73,19.51
6.4121,-816,2164,9120,4.98,13.35,19.11
6.4281,-420,3464,4472,4.25,37.76,19.04
6.4407,-2716,1520,3108,38.13,26.06,19.60
6.4534,-4572,-7260,27584,9.11,-14.75,20.92
6.4658,7096,-11680,32767,-11.53,-19.62,21.91
6.4788,9424,-7944,22568,-21.50,-19.39,22.34
6.4916,2748,-2712,10564,-14.14,-14.40,22.09
6.5046,2568,-1676,4364,-28.78,-21.01,21.56
6.5173,3560,-1816,-68,-62.96,-92.14,21.04
6.5301,-2168,-4048,244,28.13,-86.55,20.85
6.5428,-8620,-8076,13428,28.82,-31.02,21.65
6.5557,-13104,-11908,32767,20.60,-19.97,23.54
6.5720,2268,-12824,32767,-3.69,-21.37,26.48
6.5846,11364,-11424,10648,-36.04,-47.01,27.82
6.5973,11608,-9812,4360,-47.23,-66.04,27.30
6.6099,8908,-11852,10852,-29.00,-47.52,25.56
6.6225,-1800,-10068,11696,6.65,-40.72,23.87
6.6351,-7720,-8700,8264,32.76,-46.47,22.75
6.6478,-13000,-9712,16100,34.66,-31.10,22.65
6.6605,-13800,-12800,21924,28.53,-30.28,23.37
6.6736,-7532,-12588,15100,20.96,-39.82,24.24
6.6881,4968,-13080,8424,-17.71,-57.22,24.58
6.7031,3412,-12948,7912,-12.67,-58.57,24.03
6.7157,964,-13352,10412,-3.26,-52.05,23.42
6.7295,-744,-13340,7988,2.74,-59.09,22.94
6.7416,-4352,-12452,7532,16.65,-58.83,22.82
6.7544,-7500,-13908,13148,21.40,-46.61,23.04
6.7670,-3572,-15140,11864,10.52,-51.92,23.33
6.7800,1772,-14628,4900,-6.55,-71.48,23.55
6.7925,3588,-15584,8096,-11.55,-62.55,23.51
6.8052,3788,-15596,6932,-12.51,-66.04,23.01
6.8180,224,-15100,9448,-0.72,-57.97,22.35
6.8301,-1988,-15384,9556,6.26,-58.15,21.75
6.8424,-3464,-15336,9544,10.86,-58.10,21.41
6.8552,-2000,-14948,5968,7.08,-68.24,21.22
6.8672,-1372,-14556,4452,5.15,-72.99,21.12
6.8796,-340,-15516,5652,1.18,-69.98,21.00
6.8953,1168,-16300,8064,-3.67,-63.68,20.77
6.9078,940,-16904,7080,-2.94,-67.27,20.37
6.9200,1660,-15640,5760,-5.69,-69.78,19.98
6.9325,-620,-16304,6804,2.01,-67.35,19.58
6.9446,-532,-15860,3984,1.86,-75.90,19.12
6.9569,-136,-15312,1956,0.50,-82.72,18.70
6.9690,816,-15432,1320,-3.02,-85.11,18.30
6.9810,368,-16096,3064,-1.29,-79.22,17.95
6.9933,1396,-16912,2876,-4.65,-80.35,17.55
7.0058,1520,-16544,3804,-5.12,-77.05,17.13
7.0180,836,-16668,4472,-2.77,-74.98,16.77
7.0320,-300,-16372,2184,1.04,-82.40,16.37
7.0456,272,-16108,556,-0.97,-88.02,15.96
7.0580,2348,-16056,1196,-8.30,-85.74,15.71
7.0703,1276,-16708,2324,-4.33,-82.08,15.45
7.0827,2804,-17248,3844,-9.02,-77.44,15.19
7.0952,2060,-17088,3752,-6.72,-77.62,14.86
7.1074,2224,-17072,2440,-7.35,-81.87,14.56
7.1199,1964,-16072,468,-6.96,-88.33,14.29
7.1344,1828,-15872,-356,-6.57,-91.28,13.97
7.1469,2580,-16152,-76,-9.08,-90.27,13.70
7.1594,1944,-16172,896,-6.84,-86.83,13.38
7.1722,1896,-15780,-1260,-6.83,-94.57,12.97
7.1845,1208,-15124,-1392,-4.55,-95.26,12.61
7.1966,376,-15968,1620,-1.34,-84.21,12.39
7.2103,988,-16912,2568,-3.31,-81.37,12.37
7.2228,1572,-16748,288,-5.36,-89.01,12.40
7.2351,2944,-16004,-1588,-10.37,-95.67,12.40
7.2479,4056,-15352,-2824,-14.57,-100.42,12.37
7.2605,2360,-15056,-3120,-8.73,-101.71,12.25
7.2731,3160,-15488,-2852,-11.35,-100.43,12.04
7.2856,2800,-15744,-1512,-10.04,-95.49,11.83
7.2985,1384,-16508,352,-4.79,-88.78,11.73
7.3111,1572,-16592,584,-5.41,-87.98,11.71
7.3234,1164,-16248,-16,-4.10,-90.06,11.71
7.3358,2272,-15552,-3040,-8.16,-101.06,11.68
7.3480,4424,-15288,-4952,-15.39,-107.95,11.58
7.3627,4472,-15928,-3828,-15.27,-103.51,11.31
7.3767,2616,-16392,-2216,-8.99,-97.70,11.01
7.3893,1764,-16076,-2544,-6.19,-98.99,10.77
7.4015,640,-16152,-1048,-2.26,-93.71,10.68
7.4138,1488,-16396,-804,-5.18,-92.81,10.74
7.4261,2428,-16188,-2252,-8.45,-97.92,10.85
7.4385,3268,-15216,-5448,-11.43,-109.70,10.88
7.4537,4672,-15116,-6268,-15.93,-112.52,10.74
7.4663,4516,-15780,-4872,-15.29,-107.16,10.49
7.4792,2916,-15988,-3440,-10.11,-102.14,10.19
7.4917,1692,-16204,-988,-5.95,-93.49,9.99
7.5038,1948,-15984,-1116,-6.93,-93.99,9.91
7.5156,1404,-15912,-1764,-5.01,-96.33,9.94
7.5274,2028,-15236,-4648,-7.26,-106.97,10.02
7.5399,3000,-14860,-6764,-10.41,-114.47,10.12
7.5562,4684,-15564,-4804,-16.04,-107.15,10.12
7.5689,5388,-16484,-3544,-17.72,-102.13,10.01
7.5815,3856,-16708,-1640,-12.94,-95.61,9.84
7.5942,2732,-16948,-60,-9.16,-90.20,9.70
7.6063,1584,-16800,-1196,-5.37,-94.07,9.65
7.6185,588,-15396,-6404,-2.02,-112.58,9.62
7.6306,960,-13972,-9772,-3.22,-124.97,9.66
7.6425,1348,-13884,-7760,-4.84,-119.20,9.77
7.6545,2604,-15076,-5024,-9.31,-108.43,9.86
7.6687,4124,-16836,-1100,-13.74,-93.74,9.96
7.6811,4972,-17188,-568,-16.13,-91.89,10.00
7.6941,3936,-15944,-4692,-13.32,-106.40,9.97
7.7064,2252,-14500,-7664,-7.82,-117.86,9.94
7.7201,1240,-14500,-6484,-4.46,-114.09,10.01
7.7345,2132,-15004,-4708,-7.72,-107.42,10.13
7.7469,2848,-15976,-2596,-9.98,-99.23,10.24
7.7595,3972,-16428,-2108,-13.49,-97.31,10.32
7.7722,3600,-16116,-3368,-12.33,-101.80,10.32
7.7850,2976,-15140,-6556,-10.23,-113.41,10.30
7.7976,2920,-14916,-6416,-10.19,-113.27,10.28
7.8105,2388,-15416,-4624,-8.44,-106.70,10.25
7.8228,2788,-15588,-4672,-9.72,-106.68,10.23
7.8354,2964,-15992,-3424,-10.27,-102.08,10.23
7.8482,2712,-16372,-2700,-9.28,-99.36,10.26
7.8605,2864,-16248,-2896,-9.84,-100.11,10.31
7.8729,3016,-15792,-4920,-10.33,-107.30,10.31
7.8856,2776,-15028,-6008,-9.73,-111.79,10.27
7.8993,2224,-15816,-4064,-7.76,-104.41,10.20
7.9117,1832,-16684,-2400,-6.20,-98.19,10.17
7.9238,2372,-15832,-4212,-8.24,-104.90,10.22
7.9386,2360,-15576,-4280,-8.31,-105.36,10.33
7.9509,1976,-15184,-4780,-7.08,-107.47,10.44
7.9634,3264,-14932,-4832,-11.75,-107.93,10.53
7.9761,3384,-15776,-4484,-11.66,-105.87,10.53
7.9889,2732,-16096,-3000,-9.47,-100.56,10.51
8.0012,2648,-16024,-3572,-9.16,-102.57,10.49
8.0138,1716,-15772,-3644,-6.05,-103.01,10.49
8.0260,1976,-15568,-5264,-6.86,-108.68,10.49
8.0386,3280,-15364,-5428,-11.38,-109.46,10.51
8.0529,3620,-15968,-3432,-12.50,-102.13,10.47
8.0656,3112,-16420,-2192,-10.64,-97.60,10.41
8.0799,2312,-16348,-2328,-7.97,-98.10,10.34
8.0918,2136,-15840,-3172,-7.53,-101.32,10.33
8.1039,3244,-15728,-3872,-11.33,-103.83,10.31
8.1185,3736,-15108,-5876,-12.98,-111.25,10.21
8.1312,2948,-15484,-3960,-10.45,-104.35,10.09
8.1442,2024,-16056,-2324,-7.11,-98.24,9.97
8.1562,1448,-16116,-2124,-5.09,-97.51,9.93
8.1683,1724,-15820,-2832,-6.12,-100.15,9.96
8.1806,2760,-15424,-3984,-9.83,-104.48,10.00
8.1929,3084,-15168,-4928,-10.94,-108.00,10.00
8.2054,2488,-15304,-3944,-8.95,-104.45,10.00
8.2175,2268,-15636,-3552,-8.05,-102.80,10.02
8.2301,2516,-15980,-2572,-8.84,-99.14,10.07
8.2425,3316,-16324,-1968,-11.40,-96.87,10.11
8.2569,3864,-15992,-3860,-13.22,-103.57,10.09
8.2696,2900,-15468,-4400,-10.22,-105.88,10.04
8.2823,2076,-15376,-4588,-7.37,-106.61,10.02
8.2947,1812,-15376,-4120,-6.49,-105.00,10.05
8.3068,2268,-15920,-2664,-8.00,-99.50,10.13
8.3192,3236,-16172,-1816,-11.25,-96.41,10.19
8.3320,3280,-15964,-3156,-11.40,-101.18,10.21
8.3469,3232,-15528,-4552,-11.30,-106.34,10.18
8.3599,2604,-15648,-4288,-9.12,-105.32,10.15
8.3723,2400,-16008,-2848,-8.40,-100.09,10.15
8.3846,2624,-16280,-2160,-9.08,-97.56,10.20
8.3972,2584,-15836,-2140,-9.19,-97.70,10.29
8.4095,2948,-15988,-2908,-10.28,-100.31,10.33
8.4224,3136,-15836,-3704,-10.91,-103.16,10.33
8.4365,3016,-15808,-4488,-10.40,-105.85,10.33
8.4494,2516,-15808,-4012,-8.77,-104.24,10.33
8.4616,2468,-15932,-2908,-8.66,-100.34,10.33
8.4743,3632,-16208,-2360,-12.50,-98.28,10.35
8.4868,3300,-16312,-2100,-11.35,-97.34,10.35
8.4996,2900,-16076,-3000,-10.06,-100.57,10.32
8.5144,2092,-15756,-3676,-7.37,-103.13,10.29
8.5269,2192,-15608,-4208,-7.72,-105.09,10.29
8.5391,2548,-15672,-3696,-8.99,-103.27,10.25
8.5518,2400,-16028,-2784,-8.39,-99.85,10.22
8.5642,2424,-16436,-1680,-8.35,-95.84,10.23
8.5769,2568,-16424,-1624,-8.84,-95.65,10.27
8.5894,2324,-16152,-2948,-8.06,-100.34,10.31
8.6018,3160,-15800,-3616,-11.03,-102.89,10.31
8.6168,3420,-15368,-4912,-11.97,-107.73,10.22
8.6311,2492,-15664,-3856,-8.78,-103.83,10.13
8.6437,1896,-16024,-1928,-6.70,-96.86,10.12
8.6558,1980,-16456,-892,-6.85,-93.10,10.17
8.6707,2476,-16324,-1368,-8.60,-94.79,10.23
8.6830,3172,-15984,-3496,-10.97,-102.34,10.23
8.6975,3112,-15084,-5856,-10.89,-111.22,10.18
8.7105,3124,-15396,-4316,-11.06,-105.66,10.12
8.7232,2356,-15984,-1796,-8.33,-96.41,10.08
8.7356,2180,-16556,-120,-7.50,-90.42,10.08
8.7482,1988,-16320,-644,-6.94,-92.26,10.12
8.7607,2492,-15676,-3440,-8.83,-102.38,10.16
8.7733,2732,-15064,-5472,-9.67,-109.96,10.18
8.7858,2780,-15344,-5348,-9.71,-109.22,10.20
8.7996,3136,-16100,-3528,-10.77,-102.36,10.20
8.8120,3040,-16704,-1652,-10.27,-95.65,10.20
8.8280,3020,-16820,-280,-10.18,-90.95,10.23
8.8409,2104,-16116,-2568,-7.35,-99.05,10.23
8.8533,1768,-15512,-4564,-6.24,-106.40,10.27
8.8656,2108,-15440,-4880,-7.42,-107.54,10.35
8.8781,2652,-15856,-3856,-9.23,-103.67,10.43
8.8905,2764,-16168,-2008,-9.63,-97.08,10.52
8.9032,3936,-16632,-1432,-13.27,-94.92,10.55
8.9160,4516,-16424,-1804,-15.29,-96.27,10.48
8.9287,3128,-16188,-2100,-10.85,-97.39,10.34
8.9416,1632,-16064,-2140,-5.75,-97.59,10.22
8.9547,1496,-15428,-5476,-5.22,-109.54,10.13
8.9671,1468,-14424,-6848,-5.25,-115.40,10.16
8.9793,2076,-15276,-2980,-7.60,-101.04,10.26
8.9918,2776,-16632,-32,-9.48,-90.11,10.38
9.0041,4904,-17400,-580,-15.73,-91.91,10.34
9.0207,4320,-16420,-3380,-14.45,-101.63,10.19
9.0334,2780,-15776,-3820,-9.72,-103.61,10.06
9.0460,1872,-15648,-3988,-6.61,-104.30,9.97
9.0581,1720,-15584,-3936,-6.11,-104.17,9.97
9.0703,1772,-15720,-2784,-6.33,-100.04,10.05
9.0842,2316,-16172,-1224,-8.13,-94.33,10.19
9.0969,3716,-16372,-1728,-12.72,-96.03,10.25
9.1096,4852,-15960,-3780,-16.48,-103.32,10.23
9.1226,3316,-15704,-3016,-11.72,-100.87,10.15
9.1352,2276,-16180,-1732,-7.96,-96.11,10.10
9.1476,2124,-15776,-2588,-7.57,-99.32,10.10
9.1599,1688,-15412,-3064,-6.13,-101.24,10.14
9.1718,2124,-15524,-2248,-7.71,-98.24,10.20
9.1841,2460,-15872,-2548,-8.70,-99.12,10.26
9.2001,2956,-15888,-2996,-10.36,-100.68,10.29
9.2131,2984,-16236,-1860,-10.35,-96.54,10.29
9.2256,2748,-16336,-1732,-9.50,-96.05,10.29
9.2381,2340,-16060,-2976,-8.15,-100.50,10.29
9.2507,1896,-15896,-2492,-6.72,-98.91,10.31
9.2631,1960,-16144,-3020,-6.81,-100.60,10.32
9.2757,2996,-15976,-3884,-10.33,-103.66,10.35
9.2884,2524,-16216,-2180,-8.77,-97.66,10.35
9.3010,2224,-16520,-956,-7.65,-93.31,10.35
9.3133,2620,-16388,-3016,-8.94,-100.43,10.32
9.3260,2988,-15576,-4980,-10.35,-107.73,10.32
9.3385,2436,-15984,-2472,-8.57,-98.79,10.32
9.3509,2220,-16472,-316,-7.67,-91.10,10.35
9.3635,3232,-16228,-2832,-11.10,-99.90,10.35
9.3760,3880,-15628,-3924,-13.54,-104.09,10.32
9.3911,2780,-16088,-1840,-9.74,-96.52,10.26
9.4051,2112,-16352,-1784,-7.32,-96.23,10.26
9.4175,2048,-15828,-3680,-7.18,-103.09,10.26
9.4297,2032,-15740,-3432,-7.19,-102.30,10.30
9.4423,2616,-16056,-2344,-9.16,-98.31,10.35
9.4547,3460,-16392,-1508,-11.87,-95.26,10.36
9.4677,3576,-16312,-1304,-12.33,-94.57,10.36
9.4803,2860,-16140,-2224,-9.96,-97.85,10.35
9.4929,2652,-15820,-3768,-9.26,-103.40,10.35
9.5055,2040,-15444,-4668,-7.21,-106.82,10.36
9.5179,2024,-15704,-3236,-7.19,-101.64,10.41
9.5304,2560,-16056,-1912,-9.00,-96.79,10.47
9.5428,3116,-16408,-996,-10.73,-93.47,10.50
9.5558,3480,-16680,-460,-11.78,-91.58,10.46
9.5704,2628,-16268,-2232,-9.09,-97.81,10.39
9.5830,2488,-15712,-3836,-8.75,-103.72,10.34
9.5954,1960,-15380,-3960,-7.04,-104.44,10.33
9.6095,2284,-15704,-2552,-8.17,-99.23,10.36
9.6218,2728,-16096,-1844,-9.56,-96.54,10.38
9.6345,2944,-16332,-1264,-10.19,-94.43,10.38
9.6471,2808,-16320,-1380,-9.73,-94.83,10.36
9.6596,2564,-15996,-2668,-8.98,-99.47,10.33
9.6723,2248,-15616,-3484,-8.00,-102.58,10.31
9.6863,2412,-15848,-2632,-8.54,-99.43,10.31
9.6988,2584,-16180,-1896,-9.01,-96.68,10.31
9.7110,2652,-16088,-2092,-9.28,-97.41,10.32
9.7265,3020,-16008,-1728,-10.62,-96.16,10.32
9.7391,2972,-16172,-1792,-10.35,-96.32,10.30
9.7521,2656,-15816,-3232,-9.34,-101.55,10.26
9.7645,1916,-15716,-2780,-6.85,-100.03,10.24
9.7770,1620,-15564,-2800,-5.85,-100.20,10.26
9.7895,2332,-15860,-2100,-8.29,-97.54,10.30
9.8042,3140,-16396,-1284,-10.81,-94.48,10.31
9.8187,3816,-16556,-1512,-12.93,-95.22,10.26
9.8313,2712,-16320,-2228,-9.35,-97.77,10.21
9.8439,2232,-16172,-2908,-7.74,-100.19,10.17
9.8558,2572,-15752,-4088,-8.98,-104.55,10.17
9.8706,2552,-15840,-2716,-9.02,-99.73,10.21
9.8830,2716,-16504,-972,-9.33,-93.37,10.25
9.8955,3420,-16732,-828,-11.54,-92.83,10.28
9.9086,3216,-16272,-2720,-11.03,-99.49,10.28
9.9212,3152,-16148,-2660,-10.90,-99.35,10.24
9.9341,3216,-16168,-3176,-11.04,-101.11,10.17
9.9467,2280,-15820,-3128,-8.05,-101.18,10.11
9.9594,1920,-15996,-2096,-6.79,-97.47,10.09
9.9718,2384,-16160,-1464,-8.36,-95.18,10.09
9.9844,2692,-15932,-1912,-9.52,-96.84,10.12
9.9968,3104,-16072,-1436,-10.89,-95.11,10.12
