time_s,pitch_in,roll_in,motor_front,motor_back,motor_left,motor_right,correction_pitch,correction_roll
0.0096,-1.66,-0.45,1415,1585,1523,1477,85.49,23.18
0.0228,-3.08,-0.73,1442,1558,1512,1488,58.41,11.70
0.0359,-2.30,-0.64,1526,1474,1498,1502,-26.32,-2.47
0.0488,-3.11,-0.71,1464,1536,1504,1496,36.06,3.78
0.0604,-2.08,-0.63,1541,1459,1497,1503,-41.27,-2.50
0.0718,-1.56,-0.21,1520,1480,1482,1518,-20.46,-18.11
0.0850,-0.12,0.11,1554,1446,1488,1512,-54.36,-12.29
0.0964,-0.60,-0.30,1478,1522,1518,1482,21.96,18.43
0.1081,-1.16,-0.03,1474,1526,1489,1511,25.68,-11.49
0.1212,-1.74,-0.62,1475,1525,1523,1477,24.75,23.45
0.1326,-1.43,-0.74,1511,1489,1506,1494,-11.45,6.37
0.1442,-1.79,-0.63,1482,1518,1496,1504,18.21,-3.80
0.1570,-0.71,-0.94,1541,1459,1514,1486,-41.12,13.52
0.1687,-1.21,-1.02,1477,1523,1505,1495,23.19,4.95
0.1800,-1.18,-0.72,1500,1500,1488,1512,0.45,-12.19
0.1930,-1.87,-0.83,1471,1529,1505,1495,29.35,5.48
0.2043,-2.47,-0.97,1470,1530,1508,1492,30.26,7.65
0.2159,-2.05,-0.92,1515,1485,1499,1501,-15.02,-0.77
0.2289,-3.16,-0.99,1453,1547,1504,1496,47.44,4.18
0.2401,-1.51,-1.11,1571,1429,1507,1493,-71.39,7.03
0.2516,-1.89,-1.18,1481,1519,1505,1495,19.37,4.82
0.2643,-0.68,-1.30,1547,1453,1507,1493,-46.61,6.68
0.2760,-2.90,-2.04,1401,1599,1535,1465,99.23,34.69
0.2874,-2.18,-1.04,1528,1472,1458,1542,-28.30,-42.30
0.3003,-2.68,-0.66,1477,1523,1486,1514,23.41,-13.73
0.3117,-3.04,-0.72,1480,1520,1504,1496,20.36,3.72
0.3232,-3.65,-0.91,1468,1532,1510,1490,32.01,9.63
0.3363,-2.49,-0.64,1541,1459,1491,1509,-40.53,-9.34
0.3477,-3.00,-0.45,1473,1527,1492,1508,26.88,-7.65
0.3590,-3.29,-0.82,1482,1518,1518,1482,17.78,17.61
0.3721,-4.38,-1.11,1452,1548,1513,1487,48.19,12.74
0.3836,-3.05,-1.22,1553,1447,1507,1493,-53.23,6.62
0.3951,-4.21,-1.15,1443,1557,1499,1501,56.77,-1.31
0.4079,-2.52,-0.98,1562,1438,1495,1505,-62.22,-5.16
0.4196,-2.43,-1.17,1500,1500,1510,1490,-0.18,9.88
0.4309,-1.75,-1.03,1527,1473,1495,1505,-27.44,-4.64
0.4439,-3.12,-1.45,1443,1557,1518,1482,57.39,18.34
0.4553,-5.12,-1.70,1405,1595,1514,1486,95.42,13.52
0.4670,-4.80,-2.02,1506,1494,1517,1483,-6.45,16.71
0.4785,-4.67,-2.27,1499,1501,1514,1486,1.38,14.28
0.4917,-4.05,-2.65,1517,1483,1518,1482,-17.39,18.38
0.5032,-2.64,-2.59,1557,1443,1501,1499,-57.32,1.29
0.5148,-3.42,-2.01,1461,1539,1478,1522,38.78,-21.97
0.5260,-3.66,-1.27,1484,1516,1469,1531,16.23,-31.12
0.5391,-4.54,-1.25,1460,1540,1501,1499,40.43,1.12
0.5509,-5.19,-0.97,1465,1535,1490,1510,35.36,-10.40
0.5624,-6.87,-0.80,1417,1583,1494,1506,83.38,-6.18
0.5740,-8.15,-1.05,1433,1567,1512,1488,67.43,12.36
0.5871,-6.31,-1.45,1561,1439,1517,1483,-60.73,17.45
0.5986,-5.43,-1.52,1530,1470,1505,1495,-30.08,5.34
0.6103,-6.10,-2.02,1462,1538,1524,1476,37.82,24.41
0.6218,-4.22,-1.39,1575,1425,1475,1525,-75.37,-25.29
0.6350,-4.74,-1.26,1473,1527,1497,1503,26.85,-3.02
0.6465,-4.85,-0.92,1488,1512,1487,1513,12.10,-13.39
0.6581,-5.27,-0.66,1474,1526,1490,1510,26.05,-10.20
0.6699,-5.02,-0.93,1503,1497,1513,1487,-3.02,12.85
0.6829,-5.12,-1.52,1488,1512,1525,1475,11.57,24.99
0.6967,-2.52,-1.23,1590,1410,1491,1509,-90.38,-8.65
0.7081,-2.11,-0.92,1515,1485,1488,1512,-14.77,-12.20
0.7198,-4.02,-1.86,1412,1588,1543,1457,87.70,42.98
0.7328,-5.73,-2.41,1426,1574,1525,1475,74.41,24.79
0.7445,-5.90,-2.51,1484,1516,1508,1492,16.16,8.06
0.7561,-3.90,-3.13,1580,1420,1531,1469,-80.31,31.44
0.7679,-3.73,-2.51,1502,1498,1478,1522,-1.56,-22.49
0.7809,-5.21,-2.00,1435,1565,1483,1517,64.79,-16.60
0.7934,-6.04,-2.86,1458,1542,1539,1461,42.31,38.71
0.8049,-5.31,-3.32,1524,1476,1525,1475,-23.72,25.00
0.8165,-3.77,-2.89,1561,1439,1486,1514,-60.67,-14.18
0.8293,-5.76,-4.09,1414,1586,1553,1447,86.43,53.03
0.8409,-7.29,-4.07,1423,1577,1505,1495,76.94,5.27
0.8527,-11.63,-5.37,1299,1701,1563,1437,201.40,63.16
0.8647,-12.75,-4.46,1434,1566,1469,1531,65.86,-31.20
0.8785,-11.48,-4.67,1529,1471,1515,1485,-28.73,14.64
0.8921,-10.45,-3.16,1522,1478,1449,1551,-22.12,-50.75
0.9042,-14.20,-1.43,1324,1676,1431,1569,176.33,-69.31
0.9159,-24.83,0.80,1008,1992,1404,1596,491.60,-96.47
0.9318,-27.32,1.75,1381,1619,1468,1532,119.37,-32.47
0.9436,-31.99,-1.94,1254,1746,1659,1341,245.96,159.29
0.9558,-27.29,-2.43,1652,1348,1524,1476,-151.59,23.75
0.9690,-31.55,-3.17,1291,1709,1533,1467,208.80,32.81
0.9811,-33.03,-0.91,1389,1611,1408,1592,110.82,-91.99
0.9931,-34.78,0.86,1375,1625,1425,1575,125.21,-75.01
1.0051,-40.90,0.61,1184,1816,1510,1490,316.49,9.53
1.0186,-47.31,-0.14,1191,1809,1528,1472,308.52,28.02
1.0303,-49.65,0.06,1325,1675,1491,1509,174.64,-8.61
1.0424,-43.09,-4.11,1706,1294,1679,1321,-206.27,178.51
1.0547,-45.78,-3.89,1322,1678,1497,1503,178.20,-3.08
1.0672,-46.21,-2.04,1413,1587,1429,1571,86.71,-70.91
1.0806,-47.43,-2.26,1383,1617,1512,1488,116.87,11.63
1.0929,-48.52,-1.83,1383,1617,1485,1515,117.31,-14.70
1.1049,-54.09,2.10,1187,1813,1333,1667,313.45,-166.87
1.1169,-59.25,4.31,1196,1804,1401,1599,304.12,-98.52
1.1293,-63.07,3.01,1251,1749,1548,1452,248.90,47.93
1.1427,-61.01,1.92,1485,1515,1538,1462,14.93,37.82
1.1548,-59.75,3.20,1462,1538,1442,1558,37.85,-57.66
1.1667,-61.20,7.02,1347,1653,1329,1671,153.03,-171.01
1.1791,-62.45,13.69,1356,1644,1211,1789,144.40,-289.46
1.1918,-72.65,23.31,1000,2000,1086,1914,510.89,-413.69
1.2079,-68.21,11.56,1535,1465,1848,1152,-35.21,347.58
1.2206,-70.38,13.01,1309,1691,1423,1577,191.38,-76.59
1.2332,-68.57,14.17,1469,1531,1433,1567,31.43,-67.28
1.2481,-74.50,22.24,1189,1811,1196,1804,311.16,-304.16
1.2622,-75.14,30.48,1364,1636,1162,1838,135.85,-337.93
1.2749,-78.68,36.59,1242,1758,1205,1795,257.85,-295.45
1.2874,-80.84,48.53,1292,1708,1000,2000,208.14,-550.42
1.2999,-70.36,6.52,1813,1187,2000,1000,-313.16,1670.59
1.3123,-69.72,0.34,1421,1579,1749,1251,79.29,248.65
1.3281,-76.82,9.13,1160,1840,1208,1792,340.45,-291.89
1.3406,-76.74,27.29,1388,1612,1000,2000,112.47,-767.38
1.3532,-80.26,38.66,1239,1761,1000,2000,260.65,-509.23
1.3659,-76.33,36.24,1540,1460,1541,1459,-39.63,40.86
1.3799,-84.76,70.88,1071,1929,1000,2000,428.84,-1343.54
1.3927,-82.40,54.03,1468,1532,2000,1000,32.06,577.06
1.4051,-81.09,34.36,1431,1569,2000,1000,69.48,741.50
1.4176,-84.99,51.05,1216,1784,1000,2000,284.17,-744.29
1.4302,-84.65,66.55,1386,1614,1000,2000,114.19,-715.04
1.4441,-84.95,99.54,1361,1639,1000,2000,138.95,-1336.16
1.4590,-85.92,97.13,1338,1662,1435,1565,162.19,-65.01
1.4714,-83.58,135.81,1468,1532,1000,2000,31.79,-1763.61
1.4842,-79.30,172.14,1547,1453,1000,2000,-47.44,-1677.62
1.4981,-77.84,147.50,1435,1565,2000,1000,65.06,664.77
1.5109,-77.67,153.30,1389,1611,1043,1957,110.70,-456.86
1.5238,-73.99,148.49,1531,1469,1463,1537,-30.79,-36.69
1.5371,-74.29,144.82,1376,1624,1420,1580,123.59,-79.68
1.5496,-70.95,156.35,1526,1474,1000,2000,-26.28,-696.19
1.5637,-73.58,152.40,1295,1705,1411,1589,204.55,-89.03
1.5760,-72.91,159.20,1417,1583,1000,2000,83.06,-515.77
1.5909,-72.43,159.94,1407,1593,1235,1765,93.49,-265.33
1.6037,-74.92,154.38,1289,1711,1485,1515,210.62,-15.01
1.6177,-76.60,144.17,1324,1676,1648,1352,175.90,147.72
1.6301,-73.46,140.45,1515,1485,1439,1561,-15.41,-61.38
1.6429,-68.91,142.17,1573,1427,1219,1781,-73.34,-281.19
1.6554,-65.94,157.99,1519,1481,1000,2000,-18.84,-870.57
1.6683,-78.23,146.39,1000,2000,1729,1271,594.77,229.21
1.6823,-87.04,5.52,1054,1946,2000,1000,446.30,5021.97
1.6988,-71.74,-6.62,1855,1145,1877,1123,-354.91,376.99
1.7110,-77.55,-14.98,1144,1856,1864,1136,355.58,364.28
1.7235,-76.80,-28.65,1414,1586,2000,1000,86.36,588.97
1.7375,-71.68,-16.46,1574,1426,1089,1911,-74.16,-411.47
1.7498,-59.44,-17.50,1907,1093,1568,1432,-407.21,67.73
1.7620,-48.17,-17.19,1888,1112,1512,1488,-388.43,12.28
1.7743,-44.89,-19.20,1565,1435,1610,1390,-64.79,109.72
1.7867,-48.15,-16.26,1295,1705,1405,1595,204.90,-94.95
1.7992,-40.89,-11.75,1728,1272,1336,1664,-227.83,-163.56
1.8131,-28.11,-10.59,1916,1084,1473,1527,-416.30,-26.62
1.8254,-22.87,-11.04,1677,1323,1534,1466,-177.45,34.07
1.8380,-19.92,-10.09,1586,1414,1477,1523,-85.93,-23.34
1.8506,-17.90,-10.30,1552,1448,1523,1477,-52.05,23.01
1.8628,-19.73,-10.21,1394,1606,1511,1489,105.86,10.86
1.8752,-23.62,-9.98,1306,1694,1505,1495,193.55,4.93
1.8910,-10.72,-6.65,1891,1109,1404,1596,-390.88,-96.17
1.9048,-1.95,-6.26,1814,1186,1494,1506,-313.56,-5.50
1.9162,-1.21,-6.57,1529,1471,1523,1477,-29.37,22.69
1.9275,0.39,-7.64,1570,1430,1558,1442,-70.11,58.04
1.9391,-0.69,-7.77,1451,1549,1516,1484,48.86,16.50
1.9523,-1.20,-7.65,1478,1522,1506,1494,22.39,6.17
1.9638,13.93,-3.99,2000,1000,1346,1654,-677.45,-153.90
1.9758,20.24,-2.57,1792,1208,1444,1556,-292.01,-56.07
1.9882,23.22,-4.99,1654,1346,1604,1396,-153.73,104.31
2.0005,21.88,-4.63,1477,1523,1492,1508,22.91,-8.44
2.0131,17.13,-4.66,1336,1664,1507,1493,164.05,7.43
2.0268,25.26,0.38,1833,1167,1315,1685,-333.36,-185.26
2.0391,24.79,0.54,1517,1483,1492,1508,-16.84,-8.07
2.0516,28.19,-0.08,1677,1323,1524,1476,-177.06,24.17
2.0641,26.76,-0.35,1482,1518,1511,1489,18.28,10.57
2.0763,30.65,-1.51,1704,1296,1549,1451,-204.19,49.05
2.0887,33.56,-0.44,1666,1334,1457,1543,-166.47,-43.24
2.1023,39.26,1.05,1767,1233,1443,1557,-267.25,-57.11
2.1146,39.69,1.32,1576,1424,1486,1514,-75.83,-13.71
2.1267,42.19,1.18,1665,1335,1503,1497,-165.41,3.26
2.1390,44.43,2.42,1657,1343,1445,1555,-156.54,-54.79
2.1514,42.78,2.50,1496,1504,1492,1508,3.52,-7.73
2.1634,45.88,3.40,1697,1303,1457,1543,-196.84,-43.35
2.1794,50.27,2.53,1711,1289,1523,1477,-211.46,22.64
2.1914,51.28,1.58,1618,1382,1536,1464,-117.89,36.46
2.2037,54.20,3.04,1699,1301,1435,1565,-198.90,-64.67
2.2157,58.74,4.14,1776,1224,1447,1553,-276.19,-52.80
2.2282,59.95,7.24,1637,1363,1364,1636,-137.25,-135.62
2.2417,60.38,6.71,1605,1395,1509,1491,-105.44,8.80
2.2538,65.70,8.79,1817,1183,1400,1600,-317.34,-99.90
2.2662,70.28,13.79,1789,1211,1277,1723,-289.07,-223.06
2.2790,69.01,7.39,1553,1447,1738,1262,-52.90,238.15
2.2912,71.26,11.63,1698,1302,1308,1692,-198.11,-191.99
2.3039,72.63,16.75,1662,1338,1273,1727,-161.91,-227.48
2.3179,73.38,29.42,1636,1364,1003,1997,-135.91,-497.41
2.3307,76.35,35.07,1730,1270,1226,1774,-229.61,-274.10
2.3432,73.74,22.53,1505,1495,1967,1033,-5.30,467.01
2.3558,73.25,20.67,1590,1410,1542,1458,-89.54,42.00
2.3683,76.18,23.75,1731,1269,1340,1660,-230.60,-159.64
2.3845,81.11,51.56,1773,1227,1000,2000,-272.98,-936.50
2.3973,82.51,67.47,1678,1322,1000,2000,-177.63,-723.53
2.4097,81.94,93.87,1599,1401,1000,2000,-99.12,-1206.19
2.4224,81.68,64.39,1611,1389,2000,1000,-111.50,1063.16
2.4349,81.98,55.00,1634,1366,1792,1208,-134.20,292.20
2.4476,79.47,41.28,1520,1480,1977,1023,-19.64,477.33
2.4617,80.39,32.64,1652,1348,1757,1243,-152.49,256.51
2.4741,83.05,73.02,1731,1269,1000,2000,-231.13,-1738.69
2.4867,80.49,121.15,1518,1482,1000,2000,-18.47,-2092.61
2.5039,73.61,143.64,1410,1590,1000,2000,90.24,-870.25
2.5167,78.33,122.24,1801,1199,2000,1000,-301.23,651.53
2.5305,83.28,78.26,1804,1196,2000,1000,-303.65,1475.02
2.5433,83.97,85.42,1652,1348,1091,1909,-152.32,-408.91
2.5558,78.51,129.98,1399,1601,1000,2000,101.21,-1978.49
2.5684,77.23,134.30,1564,1436,1126,1874,-64.50,-374.03
2.5810,76.45,133.18,1583,1417,1343,1657,-83.19,-156.52
2.5937,75.88,132.88,1591,1409,1311,1689,-90.86,-188.73
2.6078,75.87,127.55,1613,1387,1496,1504,-112.96,-3.58
2.6200,78.86,117.40,1740,1260,1739,1261,-240.36,238.60
2.6347,81.73,102.52,1720,1280,1851,1149,-219.76,351.02
2.6473,79.73,121.20,1540,1460,1000,2000,-39.80,-924.42
2.6598,78.08,125.93,1551,1449,1121,1879,-50.71,-379.48
2.6745,77.36,130.96,1591,1409,1131,1869,-91.16,-368.95
2.6884,78.25,123.79,1649,1351,1571,1429,-149.02,70.78
2.7011,81.24,101.83,1739,1261,2000,1000,-239.23,710.34
2.7138,80.17,115.62,1578,1422,1000,2000,-77.80,-717.85
2.7262,77.73,121.62,1518,1482,1074,1926,-17.90,-425.90
2.7389,77.98,123.20,1627,1373,1251,1749,-126.53,-248.57
2.7513,79.41,120.56,1677,1323,1424,1576,-176.51,-75.99
2.7638,79.33,114.36,1616,1384,1575,1425,-115.55,74.83
2.7797,77.63,130.98,1563,1437,1000,2000,-62.76,-720.78
2.7925,76.05,129.81,1552,1448,1349,1651,-52.15,-150.72
2.8050,74.80,131.51,1562,1438,1233,1767,-62.02,-267.00
2.8174,76.73,133.74,1693,1307,1208,1792,-192.75,-292.30
2.8301,81.25,96.40,1800,1200,2000,1000,-299.68,1323.68
2.8425,81.76,90.58,1643,1357,1597,1403,-143.08,96.99
2.8568,82.56,71.96,1652,1348,2000,1000,-151.71,541.27
2.8693,82.71,72.44,1630,1370,1370,1630,-129.99,-129.72
2.8820,81.74,71.99,1584,1416,1408,1592,-84.36,-92.14
2.8945,81.68,72.72,1620,1380,1360,1640,-120.08,-140.17
2.9068,80.89,62.33,1589,1411,1827,1173,-89.20,326.96
2.9194,77.89,51.66,1498,1502,1844,1156,2.21,344.00
2.9319,78.77,75.74,1653,1347,1000,2000,-153.38,-1078.75
2.9492,74.23,32.99,1480,1520,2000,1000,19.82,1184.11
2.9617,76.94,33.47,1724,1276,1429,1571,-223.88,-71.36
2.9745,70.23,13.85,1343,1657,2000,1000,156.68,743.67
2.9870,65.40,7.75,1405,1595,1730,1270,95.00,230.41
2.9996,68.10,11.94,1709,1291,1314,1686,-209.41,-186.15
3.0121,66.09,19.72,1519,1481,1157,1843,-18.87,-342.75
3.0263,63.54,19.25,1506,1494,1486,1514,-5.67,-14.30
3.0390,59.81,10.56,1443,1557,1824,1176,56.97,324.31
3.0515,55.73,7.87,1421,1579,1594,1406,79.42,93.81
3.0638,55.97,8.14,1594,1406,1475,1525,-93.91,-25.17
3.0759,54.99,7.20,1542,1458,1526,1474,-42.20,26.06
3.0877,52.91,5.45,1491,1509,1564,1436,8.55,63.99
3.0998,49.01,5.55,1413,1587,1486,1514,87.41,-14.45
3.1152,45.95,6.23,1470,1530,1467,1533,30.18,-33.41
3.1277,36.68,3.16,1184,1816,1616,1384,315.52,116.07
3.1401,31.49,1.16,1338,1662,1577,1423,161.77,76.91
3.1522,36.44,2.54,1759,1241,1437,1563,-259.48,-62.83
3.1646,37.79,2.50,1611,1389,1496,1504,-111.40,-4.13
3.1765,36.48,4.43,1500,1500,1410,1590,0.03,-89.73
3.1888,32.55,4.83,1389,1611,1474,1526,110.63,-25.50
3.2022,20.95,0.99,1099,1901,1640,1360,401.11,139.80
3.2145,12.58,-0.03,1179,1821,1540,1460,321.07,39.51
3.2267,11.67,0.51,1481,1519,1475,1525,19.48,-24.89
3.2385,11.03,1.70,1490,1510,1445,1555,10.26,-54.97
3.2504,13.48,3.80,1623,1377,1404,1596,-123.48,-95.93
3.2625,9.29,4.96,1341,1659,1443,1557,158.89,-57.37
3.2742,-0.70,1.12,1072,1928,1660,1340,427.65,160.42
3.2857,-4.01,1.69,1350,1650,1471,1529,149.61,-29.32
3.2984,-4.32,2.08,1482,1518,1480,1520,18.37,-20.47
3.3100,-7.59,0.88,1348,1652,1548,1452,152.02,48.40
3.3214,-11.75,0.92,1300,1700,1495,1505,199.77,-5.13
